Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u 25V,C_1210_3225Metric,205.0,-182.5,90.0,bottom
C2,47u 10V,C_1210_3225Metric,213.0,-182.5,90.0,bottom
C3,1u 10V,C_0603_1608Metric,218.0,-187.8,90.0,bottom
C4,47u 10V,C_1210_3225Metric,230.0,-186.0,270.0,bottom
C5,1u 10V,C_0603_1608Metric,230.0,-182.5,180.0,bottom
C8,0.1u,C_0603_1608Metric,205.4,-184.1,90.0,top
C10,0.1u,C_0603_1608Metric,213.7,-184.4,0.0,top
C11,0.1u,C_0603_1608Metric,205.3,-177.9,90.0,top
C12,0.1u,C_0603_1608Metric,211.3,-175.6,90.0,top
C16,10u 50V,C_1210_3225Metric,192.224999,-144.8,180.0,top
C17,10n,C_0603_1608Metric,208.525,-166.1,0.0,bottom
C18,10u 50V,C_1210_3225Metric,211.5,-161.7,180.0,top
C19,10u 50V,C_1210_3225Metric,192.225,-148.3,180.0,top
C20,0.1u,C_0603_1608Metric,208.2,-166.0,180.0,top
C21,0.1u 50V,C_0603_1608Metric,216.3,-162.5,90.0,top
C22,10u 50V,C_1210_3225Metric,192.2,-155.3,180.0,top
C23,6800p,C_0603_1608Metric,206.7,-164.3,180.0,top
C24,10u 50V,C_1210_3225Metric,192.2,-151.8,180.0,top
C25,4u7 50V,C_0603_1608Metric,218.9,-162.5,90.0,top
C26,0.1u 200V,C_1206_3216Metric,218.3,-158.7,0.0,top
C27,10u 50v,C_1210_3225Metric,188.6,-131.6,-90.0,top
C28,0.1u,C_0603_1608Metric,185.8,-131.625,-90.0,top
C29,4u7 25V,C_0805_2012Metric,230.1,-181.2,0.0,top
C30,0.1u,C_0603_1608Metric,214.5,-175.4,90.0,top
C31,0.1u,C_0603_1608Metric,228.230114,-183.3,0.0,top
C32,10n 10V,C_0603_1608Metric,214.4,-182.0,-90.0,top
C33,1u 10V,C_0603_1608Metric,216.8,-181.6,270.0,bottom
C34,4u7 25V,C_0805_2012Metric,230.1,-190.9,180.0,bottom
C35,0.1u 500V,C_1210_3225Metric,211.9,-126.824999,-90.0,top
C36,0.47u 500V,C_2225_5664Metric,226.4,-125.8,-90.0,top
C37,0.47u 500V,C_2225_5664Metric,218.5,-125.8,-90.0,top
D1,Green,LED0603,186.6,-192.4,90.0,top
D2,"CUS10S30,H3F",D_SOD-323,208.5,-184.0,180.0,bottom
